1,358176583,358176583,1.000000,15.671820,1669591801
2,315456815,444722244,1.409772,15.203773,1669591801
3,280791058,516549560,1.839622,14.955894,1669591801
4,252679755,578066043,2.287742,14.781407,1669591801
5,229837532,631769254,2.748765,14.644665,1669591801
6,211043747,679116613,3.217895,14.532087,1669591801
7,195326689,720976920,3.691133,14.437131,1669591801
8,181958869,758094438,4.166296,14.355567,1669591801
9,170383580,791015327,4.642556,14.284495,1669591801
10,160223088,820342736,5.120003,14.221611,1669591801
