1,45558939,45558939,1.000000,22.940422,1332778986
2,42371188,63655411,1.502328,18.445103,1332778986
3,39201335,77859657,1.986148,17.114071,1332778986
4,36391084,89600580,2.462157,16.503132,1332778986
5,33943624,99559569,2.933086,16.157650,1332778986
6,31794093,108120071,3.400634,15.938851,1332778986
7,29898240,115544560,3.864594,15.784307,1332778986
8,28222469,122070088,4.325280,15.670077,1332778986
9,26736163,127845081,4.781729,15.582205,1332778986
10,25407217,132965813,5.233388,15.505578,1332778986
