1,309790636,309790636,1.000000,16.285515,1873574701
2,280808964,404078161,1.438979,15.540287,1873574701
3,255425255,481270169,1.884192,15.191408,1873574701
4,233571746,546332055,2.339033,14.964887,1873574701
5,215099023,602649751,2.801732,14.797469,1873574701
6,199465002,652069966,3.269094,14.665283,1873574701
7,186151119,695887472,3.738293,14.557002,1873574701
8,174662480,734903401,4.207563,14.466217,1873574701
9,164638901,769914419,4.676383,14.388678,1873574701
10,155775273,801441422,5.144856,14.321358,1873574701
