1,303544562,303544562,1.000000,16.160204,1873574614
2,273424104,392989741,1.437290,15.420178,1873574614
3,247807204,465607496,1.878910,15.092630,1873574614
4,226088443,527513540,2.333218,14.880479,1873574614
5,207887016,581489705,2.797143,14.722577,1873574614
6,192625076,629229792,3.266604,14.596907,1873574614
7,179710700,671730185,3.737842,14.493626,1873574614
8,168600009,709646795,4.209055,14.406757,1873574614
9,158910665,743624519,4.679513,14.332453,1873574614
10,150360621,774178402,5.148811,14.267913,1873574614
