1,303544567,303544567,1.000000,16.160206,1873574614
2,273424100,392989735,1.437290,15.420178,1873574614
3,247807224,465607511,1.878910,15.092629,1873574614
4,226088459,527513563,2.333218,14.880479,1873574614
5,207887004,581489710,2.797143,14.722576,1873574614
6,192625071,629229814,3.266604,14.596907,1873574614
7,179710677,671730142,3.737842,14.493626,1873574614
8,168600011,709646794,4.209055,14.406758,1873574614
9,158910672,743624539,4.679513,14.332455,1873574614
10,150360614,774178362,5.148811,14.267913,1873574614
